match_id,team_name,family_name,shirt_number,minute_regulation,minute_stoppage,own_goal,penalty,goal_keeper,defender,midfielder,forward,count_tournaments,home_team,away_team,goals_for,goals_against,goal_differential,extra_time,penalty_shootout,penalties_for,penalties_against,win,lose,draw,performace
M-1998-37,France,Petit,17,56,0,0,0,0,0,1,0,2,1,0,2,1,1,0,0,0,0,1,0,0,champions
M-1998-51,France,Blanc,5,114,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,champions
M-1998-62,France,Thuram,15,47,0,0,0,0,1,0,0,3,1,0,2,1,1,0,0,0,0,1,0,0,champions
M-1998-62,France,Thuram,15,70,0,0,0,0,1,0,0,3,1,0,2,1,1,0,0,0,0,1,0,0,champions
M-1998-64,France,Petit,17,90,3,0,0,0,0,1,0,2,0,1,3,0,3,0,0,0,0,1,0,0,champions
M-1998-64,France,Zidane,10,27,0,0,0,0,0,1,0,3,0,1,3,0,3,0,0,0,0,1,0,0,champions
M-1998-64,France,Zidane,10,45,1,0,0,0,0,1,0,3,0,1,3,0,3,0,0,0,0,1,0,0,champions
M-2002-13,Japan,Inamoto,5,67,0,0,0,0,0,1,0,3,1,0,2,2,0,0,0,0,0,0,0,1,round of 16
M-2002-13,Japan,Suzuki,11,59,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,0,0,0,0,1,round of 16
M-2002-14,South Korea,Hwang,18,26,0,0,0,0,0,0,1,4,1,0,2,0,2,0,0,0,0,1,0,0,fourth place
M-2002-14,South Korea,Yoo,6,53,0,0,0,0,1,0,0,2,1,0,2,0,2,0,0,0,0,1,0,0,fourth place
M-2002-29,Japan,Inamoto,5,51,0,0,0,0,0,1,0,3,1,0,1,0,1,0,0,0,0,1,0,0,round of 16
M-2002-30,South Korea,Ahn,19,78,0,0,0,0,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0,1,fourth place
M-2002-46,Japan,Morishima,8,48,0,0,0,0,0,1,0,2,0,1,2,0,2,0,0,0,0,1,0,0,round of 16
M-2002-46,Japan,Nakata,7,75,0,0,0,0,0,1,0,3,0,1,2,0,2,0,0,0,0,1,0,0,round of 16
M-2002-48,South Korea,Park,21,70,0,0,0,0,0,1,0,3,0,1,1,0,1,0,0,0,0,1,0,0,fourth place
M-2002-56,South Korea,Ahn,19,117,0,0,0,0,0,0,1,3,1,0,2,1,1,1,0,0,0,1,0,0,fourth place
M-2002-56,South Korea,Seol,9,88,0,0,0,0,0,0,1,2,1,0,2,1,1,1,0,0,0,1,0,0,fourth place
M-2002-63,South Korea,Lee,13,9,0,0,0,0,0,1,0,2,1,0,2,3,-1,0,0,0,0,0,1,0,fourth place
M-2002-63,South Korea,Song,22,90,3,0,0,0,1,1,0,2,1,0,2,3,-1,0,0,0,0,0,1,0,fourth place
M-2006-01,Germany,Frings,8,87,0,0,0,0,0,1,0,2,1,0,4,2,2,0,0,0,0,1,0,0,third place
M-2006-01,Germany,Klose,11,17,0,0,0,0,0,0,1,4,1,0,4,2,2,0,0,0,0,1,0,0,third place
M-2006-01,Germany,Klose,11,61,0,0,0,0,0,0,1,4,1,0,4,2,2,0,0,0,0,1,0,0,third place
M-2006-01,Germany,Lahm,16,6,0,0,0,0,1,0,0,3,1,0,4,2,2,0,0,0,0,1,0,0,third place
M-2006-17,Germany,Neuville,10,90,1,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,1,0,0,third place
M-2006-34,Germany,Klose,11,4,0,0,0,0,0,0,1,4,0,1,3,0,3,0,0,0,0,1,0,0,third place
M-2006-34,Germany,Klose,11,44,0,0,0,0,0,0,1,4,0,1,3,0,3,0,0,0,0,1,0,0,third place
M-2006-34,Germany,Podolski,20,57,0,0,0,0,0,1,1,3,0,1,3,0,3,0,0,0,0,1,0,0,third place
M-2006-49,Germany,Podolski,20,4,0,0,0,0,0,1,1,3,1,0,2,0,2,0,0,0,0,1,0,0,third place
M-2006-49,Germany,Podolski,20,12,0,0,0,0,0,1,1,3,1,0,2,0,2,0,0,0,0,1,0,0,third place
M-2006-57,Germany,Klose,11,80,0,0,0,0,0,0,1,4,1,0,1,1,0,1,1,4,2,1,0,0,third place
M-2006-63,Germany,Petit,8,60,0,1,0,0,0,1,0,2,1,0,3,1,2,0,0,0,0,1,0,0,third place
M-2006-63,Germany,Schweinsteiger,7,56,0,0,0,0,0,1,0,3,1,0,3,1,2,0,0,0,0,1,0,0,third place
M-2006-63,Germany,Schweinsteiger,7,78,0,0,0,0,0,1,0,3,1,0,3,1,2,0,0,0,0,1,0,0,third place
M-2010-01,South Africa,Tshabalala,8,55,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,group stage
M-2010-33,South Africa,Khumalo,20,20,0,0,0,0,1,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,group stage
M-2010-33,South Africa,Mphela,9,37,0,0,0,0,0,0,1,1,0,1,2,1,1,0,0,0,0,1,0,0,group stage
M-2014-01,Brazil,Neymar,10,29,0,0,0,0,0,0,1,2,1,0,3,1,2,0,0,0,0,1,0,0,fourth place
M-2014-01,Brazil,Neymar,10,71,0,0,1,0,0,0,1,2,1,0,3,1,2,0,0,0,0,1,0,0,fourth place
M-2014-01,Brazil,Oscar,11,90,1,0,0,0,0,1,0,1,1,0,3,1,2,0,0,0,0,1,0,0,fourth place
M-2014-35,Brazil,Fernandinho,5,84,0,0,0,0,0,1,0,2,0,1,4,1,3,0,0,0,0,1,0,0,fourth place
M-2014-35,Brazil,Fred,9,49,0,0,0,0,0,0,1,2,0,1,4,1,3,0,0,0,0,1,0,0,fourth place
M-2014-35,Brazil,Neymar,10,17,0,0,0,0,0,0,1,2,0,1,4,1,3,0,0,0,0,1,0,0,fourth place
M-2014-35,Brazil,Neymar,10,35,0,0,0,0,0,0,1,2,0,1,4,1,3,0,0,0,0,1,0,0,fourth place
M-2014-49,Brazil,Luiz,4,18,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,3,2,1,0,0,fourth place
M-2014-58,Brazil,Luiz,4,69,0,0,0,0,1,0,0,1,1,0,2,1,1,0,0,0,0,1,0,0,fourth place
